,Centre,Cost,Education,Staff,Facilities,Reputation,NQS,Composite,PairwiseWins
1,Westbourne Amici,5,5,5,5,5,5,5.0,23
2,OAC Williamstown,3,5,5,5,5,5,4.666666666666667,21
3,Clare Court ELC,4,5,5,4,5,5,4.666666666666667,18
4,St Michael's Grammar ELC,2,5,5,5,5,5,4.5,19
5,Wesley ECLC,2,5,5,5,5,5,4.5,19
6,Home Road Kindergarten,5,4,5,3,5,5,4.5,14
7,Emma McLean,5,4,5,3,5,5,4.5,14
8,South Kingsville Preschool,5,4,5,3,5,5,4.5,14
9,Explorers Williamstown,4,5,4,5,4,5,4.5,13
10,Newport Lakes,4,4,5,4,5,5,4.5,13
11,Haileybury City ELC,1,5,5,5,5,5,4.333333333333333,18
12,OAC Newport,2,5,5,5,4,4,4.166666666666667,11
13,Learning Sanctuary Spotswood,3,4,4,5,5,4,4.166666666666667,10
14,Eden Academy Newport,4,4,4,4,5,4,4.166666666666667,10
15,Newport Gardens,4,4,4,4,4,4,4.0,7
16,The Range Children's,5,3,4,3,5,4,4.0,4
17,Genius Altona North,1,4,4,5,4,4,3.6666666666666665,5
18,Guardian Maidstone,2,4,4,4,4,4,3.6666666666666665,4
19,Guardian Braybrook,2,4,4,4,4,4,3.6666666666666665,4
20,Inventors of the Future,3,4,4,4,3,4,3.6666666666666665,3
21,Paisley Park SK,1,4,4,5,4,3,3.5,3
22,Headstart Altona North,3,3,3,3,4,4,3.3333333333333335,1
23,Goodstart Altona,1,3,4,3,4,4,3.1666666666666665,1
24,Kids by the Bay,1,3,3,4,3,3,2.8333333333333335,0
